guid,front,back,tags
MVtb[B2Wo},What makes a Java exception&nbsp;<b>checked</b>?,If it has to be added with the&nbsp;<b>throws</b>&nbsp;keyword and is checked at compile time.,eth::sem6::rse
IwHG!:%Fh3,What are the 3 elements in a <b>documentation</b>&nbsp;<b>contract</b>?,<ul><li>Precondition (<code>//requires</code>)</li><li>Postcondition (<code>//ensures</code>)</li><li>Invariant (<code>//invariant</code>)</li></ul>,eth::sem6::rse
CLxk$$tu>G,Documentation contract: What is in the <b>preconditions</b>?,"The conditions the caller of a method must fullfill.<br><br>Example: ""To call getRoot(x), the caller has to provide a value x &gt;= 0""",eth::sem6::rse
Bvk(o/$M:?,Documentation contract: What is in the <b>postconditions</b>?,"The guarantees provided to the caller after executing the method, given the caller satisfied the precondition.",eth::sem6::rse
"GK=-x;q~,=",Documentation: What 2 arguments can be used in the postcondition?,<ul><li>old(...): refers to the previous state</li><li>result: return value</li></ul>,eth::sem6::rse
"pZ/XsR,sgT",<b>Step 1</b> of proving an assertion,"<img src=""paste-db1b5d120a685054395f3bc087b70846da437d5c.jpg"">",eth::sem6::rse
Dq5@|.#@9W,<b>Step 2</b>&nbsp;of proving an assertion<br>(after abstraction),"<img src=""paste-c84fafc48a0d1bb11bcbfef690d281dfb87a47d1.jpg""><br><img src=""paste-615ba6ef6072a1dc13391f80f8ac2d9094a1d03f.jpg"">",eth::sem6::rse
nEkIW?=w#x,<b>Step 3</b>&nbsp;of proving an assertion<br>(after transformation),"<img src=""paste-1793e63e5d1784d095cd692abf42ffcb9452a2b2.jpg"">",eth::sem6::rse
juXEdz.}w>,<b>Step 4</b>&nbsp;of proving an assertion<br>(after iterating to a fixed point),"<img src=""paste-8eb3e3a8ebe34dfd14f253af2a555c2b1569eb0c.jpg"">",eth::sem6::rse
"d7U:_O,.eB","What is the solution to using sequentially computed <span style=""color: rgb(255, 0, 0);"">abstract states</span> for parallel programs?","Cartesian States<br><img src=""paste-cad6b8d912e75035083cfb918d2b29243fe29927.jpg"">",eth::sem6::rse
q%86.s`V=W,"<span style=""color: rgb(255, 0, 0);"">When may&nbsp;</span>\(\text{ALoc}(st_1):=(a,i)\)&nbsp;<span style=""color: rgb(255, 0, 0);"">equal&nbsp;</span>\(\text{ALoc}(st_2):=(b,k)\)&nbsp;in abstract state&nbsp;\(A\)?","<img src=""paste-ddebe004fd2c01d31c3108f88e8938759841bce0.jpg"">",eth::sem6::rse
n;GV2+y?RO,"<img src=""paste-065043d9f5230de73636ad302c55dae66ac6f002.jpg"">","<img src=""paste-5d2a037da08c0fff583447aaaa78522dedc48908.jpg"">",eth::sem6::rse
rx%`cbe3h?,"<img src=""paste-411e9def31aa702646c15e88ced7211c4c369a8f.jpg""><br>Which type of Polymorphism is shown here?",Parametric Polymorphism (generic types),eth::coop
P$HSM:@ZM(,"<img src=""paste-ef4155eb70beff91d5a2a159e9d78246c46a1257.jpg""><br>Which type of Polymorphism is shown here?",Ad-hoc Polymorphism (method overloading),eth::coop
"wqMx<V&Y_,",\(A \implies B\)<br>,"""If A is true, B is also true."" Does <i>not</i>&nbsp;express any causality like ""because A is true, B is true"".",eth::sem1::diskmat
z;jp`Lcv<(,What is the difference between propositional and predicate logic?,"propositional: only values of \(\{0,1\}\), finite<div>predicate: any values in our universe, infinite</div>",eth::sem1::diskmat
J!|K;g5R$4,What is a predicate?,"A k-ary predicate on&nbsp;\( U \) is a function&nbsp;\( U^k \rightarrow \{0,1\}\).<div>It's like a function that takes any number of arguments, but only returns boolean results.</div>",eth::sem1::diskmat
HV{[!>wU0*,What is a tautology?,"A formula F (propositional logic) is a tautology/valid if it is true for all truth combinations of the involved symbols, so if it is always true. Symbol:&nbsp;\( \top \)",eth::sem1::diskmat
rz^&c?ddI>,G is a <i>logical conse</i><i>qence </i>of F. What does that mean?,"\( F \models G\) if G is always true if F is true, but not necessarily false when F is false. (No causality!)<br>",eth::sem1::diskmat
FDfn]bHyB6,Predicate logic: universe,"A universe is the non-empty set that we work within. Examples:&nbsp;\( \mathbb{N}, \mathbb{R}, \{ 0,1,2,3,6 \} \)",eth::sem1::diskmat
lG3L]2Sq+d,What is the&nbsp;<b>rank&nbsp;</b>of a matrix (\(\text{rank}(A)\))?&nbsp;,"The dimension of the vector space spanned by the columns, or the rows. This is equal to the number of linearly independent columns or rows in the matrix.",eth::sem1::linalg
h8vM!D=]5*,What is the <b>full rank</b>&nbsp;of a&nbsp;\(m \times n\)-matrix?,"The full rank is&nbsp;\( r = \text{min}(m,n)\).",eth::sem1::linalg
tg<_s~pb{P,"Proof method: ""Composition of Implications""","Idea: If&nbsp;\( S \implies T \) and&nbsp;\( T \implies U \) are both true, then&nbsp;\( S \implies U \) is also true.",eth::sem1::diskmat
y)<N|W:fKf,"Proof method: ""Direct Proof of an Implication""",Direct proof of&nbsp;\( S \implies T \): assume S and prove T under that assumption,eth::sem1::diskmat
mW<[l@|LPN,"<i>Proof method:</i> ""Indirect Proof of an Implication""","Indirect proof of&nbsp;\( S \implies T \): Assume T is false, prove that S is false.<div><br></div><div>Follows from&nbsp;\( (\neg B \to \neg A) \models (A \to B) \)</div>",eth::sem1::diskmat
O?~Mb}~!3:,"Proof method: ""Modus Ponens""",1. Find a suitable statement&nbsp;\(R\)<div>2. Prove&nbsp;\(R\)</div><div>3. Prove&nbsp;\(R \implies S\)</div>,eth::sem1::diskmat
j0f>T<R:o&,"Proof method: ""Case Distinction""","1. Find a finite list&nbsp;\( R_1, \ldots, R_k\) of statements (cases)<div>2. Prove that one case applies for the situation (prove one \(R_i\))</div><div>3. Prove&nbsp;\( R_i \implies S\) for&nbsp;\(i = 1, \ldots, k\)</div><div><br></div><div>Basically, show for all cases that they are correct.</div>",eth::sem1::diskmat
w;_;AaM4pf,What is the definition of a&nbsp;<b>symmetric</b>&nbsp;matrix?,A symmetric matrix is equal to its transpose:&nbsp;\(A = A^\top\).<div>Example:</div><div>\( \begin{pmatrix} 0 &amp; 5 &amp; 1 \\ 5 &amp; 2 &amp; 4 \\ 1 &amp; 4 &amp; 0 \end{pmatrix} \)<br></div>,eth::sem1::linalg
H5-[+SLX3[,Cardinality of a set,"The number of elements in the set, written as&nbsp;\( |A| \).",eth::sem1::diskmat
p6e6T6[HIy,What is the&nbsp;<b>transpose</b>&nbsp;of a matrix&nbsp;\(\mathbf{A}\)?,"The transpose&nbsp;\(\mathbf{A}^\top\)&nbsp;is the matrix&nbsp;\(\mathbf{A}\)&nbsp;flipped over its diagonal, so&nbsp;\( (\mathbf{A}^\top)_{ij} = (\mathbf{A})_{ji} \).",eth::sem1::linalg
vlkuMD-Ica,What is the&nbsp;<b>conjugate transpose&nbsp;</b>(also Hermitian transpose) of a matrix&nbsp;\(\mathbf{A}\)?,The conjugate transpose&nbsp;&nbsp;\(\mathbf{A}^\text{H}\)&nbsp;is the transpose&nbsp;\(\mathbf{A}^\top\)&nbsp;with every entry being conjugated:&nbsp;\( (\mathbf{A}^\text{H})_{ij} = \overline{\mathbf{A}_{ji}}\)&nbsp;.,eth::sem1::linalg
"gC,90MH_~p",Was ist eine <b>konjugiert-transponierte</b> (auch: Hermitesch-transponierte) Matrix?,\( \mathbf{A}^H = (\overline{\mathbf{A}})^\top = \overline{\mathbf{A}^\top}\)<br>,eth::sem1::linalg
g[av;3n%%l,When is a matrix&nbsp;\(\mathbf{A}\)&nbsp;<i>hermitian</i>?,"If&nbsp;\( \mathbf{A} = \mathbf{A}^\text{H}\), which is equivalent to&nbsp;\(\mathbf{A} = \overline{\mathbf{A}^\top}\).",eth::sem1::linalg
OB6+3`~vyx,When is a matrix&nbsp;\(\mathbf{A}\)&nbsp;<b>skew-symmetric</b>?,If&nbsp;\( \mathbf{A}^\top = -\mathbf{A}\)<div><br></div><div>Example:</div><div>\( \begin{pmatrix} 0 &amp; -3 &amp; 5 \\ 3 &amp; 0 &amp; -4 \\ -5 &amp; 4 &amp; 0 \end{pmatrix}\)<br></div>,eth::sem1::linalg
xDDC{82KOB,Proof method: Proof by Contradiction,1. Find a suitable statement&nbsp;\( T\)<div>2. Prove that&nbsp;\( T \) is false</div><div>3. Assume that&nbsp;\( S \) is false and prove that&nbsp;\( T \) is true (-&gt; contradiction)</div>,eth::sem1::diskmat
y+DFM]G]@{,Proof method: Existence Proof,"We just want to prove that there exists a&nbsp;\( x \) such that a statement&nbsp;\( S_x \) is true. (e.g. There exists a prime number such that&nbsp;\( n - 10\) and&nbsp;\( n + 10\) are also prime.)&nbsp;<div><br></div><div><i>constructive: </i>We know the x.</div><div><i>non-constructive: </i>We know that x has to exist, but we don't know its value.</div>",eth::sem1::diskmat
uO0tm0+UFa,Proof method: Pigeonhole Principle,"If a set of&nbsp;\( n \) objects is divided into&nbsp;\( k&nbsp; &lt; n\) sets, then at least one of the sets contains at least&nbsp;\( \left \lceil{\frac{n}{k}}\right \rceil\) objects.<div><br></div><div>Informally: If there are more objects than sets, there is a set with more than one object in it.</div>",eth::sem1::diskmat
ih~tka$0AQ,Proof method: Proofs by counterexample,"Special case of constructive existence proofs. By finding a counter example&nbsp;\( x\) such that&nbsp;\(S_x\) is not true, we can prove that&nbsp;\( S_i \) isn't always true.",eth::sem1::diskmat
v`BTz<1Q{~,What is the definition of an&nbsp;<b>invertible</b>&nbsp;(also <i>nonsingular </i>or <i>nondegenerate</i>) matrix&nbsp;\(\mathbf{A}\)?,There exists a matrix&nbsp;\( \mathbf{X} \)&nbsp;such that&nbsp;\( \mathbf{AX} = \mathbf{XA} = \mathbf{I_n}\).<div><br></div><div>Example:&nbsp;\( \begin{pmatrix} 1 &amp; 2 \\ 0 &amp; 3 \end{pmatrix} * \begin{pmatrix} 1 &amp; -\frac{2}{3} \\ 0 &amp; \frac{1}{3} \end{pmatrix} = \mathbf{I_2}\)&nbsp;</div>,eth::sem1::linalg
