guid,vorderseite,rückseite,tags
"wqMx<V&Y_,",\(A \implies B\)<br>,"""If A is true, B is also true."" Does <i>not</i>&nbsp;express any causality like ""because A is true, B is true"".",ETH::sem1::DiskMath
z;jp`Lcv<(,What is the difference between propositional and predicate logic?,"propositional: only values of \(\{0,1\}\), finite<div>predicate: any values in our universe, infinite</div>",ETH::sem1::DiskMath
J!|K;g5R$4,What is a predicate?,"A k-ary predicate on&nbsp;\( U \) is a function&nbsp;\( U^k \rightarrow \{0,1\}\).<div>It's like a function that takes any number of arguments, but only returns boolean results.</div>",ETH::sem1::DiskMath
HV{[!>wU0*,What is a tautology?,"A formula F (propositional logic) is a tautology/valid if it is true for all truth combinations of the involved symbols, so if it is always true. Symbol:&nbsp;\( \top \)",ETH::sem1::DiskMath
rz^&c?ddI>,G is a <i>logical conse</i><i>qence </i>of F. What does that mean?,"\( F \models G\) if G is always true if F is true, but not necessarily false when F is false. (No causality!)<br>",ETH::sem1::DiskMath
FDfn]bHyB6,Predicate logic: universe,"A universe is the non-empty set that we work within. Examples:&nbsp;\( \mathbb{N}, \mathbb{R}, \{ 0,1,2,3,6 \} \)",ETH::sem1::DiskMath
lG3L]2Sq+d,Was ist der Rang eines LGS?,"Die Anzahl Pivotelemente bzw. die Anzahl Zeilen, welche nicht Nullzeilen sind.",ETH::sem1::LinAlg
h8vM!D=]5*,Was ist der volle Rang eines LGS der Form&nbsp;\(m \times n\)?,"\( r \le m, r \le n\), also ist der volle / maximale Rang \( r = \text{min}(m,n)\)<br>",ETH::sem1::LinAlg
tg<_s~pb{P,"Proof method: ""Composition of Implications""","Idea: If&nbsp;\( S \implies T \) and&nbsp;\( T \implies U \) are both true, then&nbsp;\( S \implies U \) is also true.",ETH::sem1::DiskMath
y)<N|W:fKf,"Proof method: ""Direct Proof of an Implication""",Direct proof of&nbsp;\( S \implies T \): assume S and prove T under that assumption,ETH::sem1::DiskMath
mW<[l@|LPN,"Proof method: ""Indirect Proof of an Implication""","Indirect proof of&nbsp;\( S \implies T \): Assume T is false, prove that S is false.<div><br></div><div>Follows from&nbsp;\( (\neg B \to \neg A) \models (A \to B) \)</div>",ETH::sem1::DiskMath
O?~Mb}~!3:,"Proof method: ""Modus Ponens""",1. Find a suitable statement&nbsp;\(R\)<div>2. Prove&nbsp;\(R\)</div><div>3. Prove&nbsp;\(R \implies S\)</div>,ETH::sem1::DiskMath
j0f>T<R:o&,"Proof method: ""Case Distinction""","1. Find a finite list&nbsp;\( R_1, \ldots, R_k\) of statements (cases)<div>2. Prove that one case applies for the situation (prove one \(R_i\))</div><div>3. Prove&nbsp;\( R_i \implies S\) for&nbsp;\(i = 1, \ldots, k\)</div><div><br></div><div>Basically, show for all cases that they are correct.</div>",ETH::sem1::DiskMath
w;_;AaM4pf,Was ist eine <b>symmetrische</b> Matrix?,"Eine symmetrische Matrix hat eine ""Spiegelachse"" an der Hauptdiagonale. Hauptdiagonale selber unwichtig!<div>Beispiel:</div><div>\( \begin{pmatrix} 0 &amp; 5 &amp; 1 \\ 5 &amp; 2 &amp; 4 \\ 1 &amp; 4 &amp; 0 \end{pmatrix} \)<br></div>",ETH::sem1::LinAlg
H5-[+SLX3[,Cardinality of a set,"The number of elements in the set, written as&nbsp;\( |A| \).",ETH::sem1::DiskMath
p6e6T6[HIy,Was ist eine <b>transponierte</b> Matrix?,"Entlang der Hauptdiagonale gespiegelte Matrix \(\mathbf{A}^\top\), d.h.&nbsp;\( (\mathbf{A}^\top)_{ij} = (\mathbf{A})_{ji} \)",ETH::sem1::LinAlg
vlkuMD-Ica,Was ist eine <b>konjugiert-komplexe </b>Matrix?,"Wenn&nbsp;\(\mathbf{A}\) eine komplexe Matrix ist, dann ist&nbsp;\(\overline{\mathbf{A}}\) mit&nbsp;\( (\overline{\mathbf{A}})_{ij} = \overline{(\mathbf{A})_{ij}}\) die konjugiert-komplexe Matrix.",ETH::sem1::LinAlg
"gC,90MH_~p",Was ist eine <b>konjugiert-transponierte</b> (auch: Hermitesch-transponierte) Matrix?,\( \mathbf{A}^H = (\overline{\mathbf{A}})^\top = \overline{\mathbf{A}^\top}\)<br>,ETH::sem1::LinAlg
g[av;3n%%l,Wann ist eine Matrix <b>Hermitesch</b>?,Falls&nbsp;\( \mathbf{A}^H = A\),ETH::sem1::LinAlg
OB6+3`~vyx,Wann ist eine Matrix <b>schiefsymmetrisch</b>?,Falls&nbsp;\( \mathbf{A}^\top = -\mathbf{A}\)<div><br></div><div>Beispiel:</div><div>\( \begin{pmatrix} 0 &amp; -3 &amp; 5 \\ 3 &amp; 0 &amp; -4 \\ -5 &amp; 4 &amp; 0 \end{pmatrix}\)<br></div>,ETH::sem1::LinAlg
